ANT1	-27.94	167.64	0.00	2450AT18B100E_2450AT18B100E	2450AT18B100E_ANTC3216X140N
C1	-22.86	149.86	0.00	1uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C10	-52.07	167.64	0.00	12pF	GRM011R60J152KE01L_1_0201
C11	-54.61	167.64	0.00	12pF	GRM011R60J152KE01L_1_0201
C12	-57.15	167.64	0.00	12pF	GRM011R60J152KE01L_1_0201
C13	-59.69	167.64	0.00	1pF	GRM011R60J152KE01L_1_0201
C14	-62.23	167.64	0.00	1pF	GRM011R60J152KE01L_1_0201
C15	-64.77	167.64	0.00	1pF	GRM011R60J152KE01L_1_0201
C16	-67.31	167.64	0.00	1pF	GRM011R60J152KE01L_1_0201
C17	-69.85	167.64	0.00	820pF	GRM011R60J152KE01L_1_0201
C18	-72.39	167.64	0.00	100nF	GRM011R60J152KE01L_1_0201
C19	-74.93	167.64	0.00	100nF	GRM011R60J152KE01L_1_0201
C2	-17.78	149.86	0.00	10uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C20	-77.47	167.64	0.00	4.7uF	GRM011R60J152KE01L_1_0201
C21	-80.01	167.64	0.00	4.7uF	GRM011R60J152KE01L_1_0201
C22	-82.55	167.64	0.00	100nF	GRM011R60J152KE01L_1_0201
C23	-85.09	167.64	0.00	4.7uF	GRM011R60J152KE01L_1_0201
C24	-87.63	167.64	0.00	100nF	GRM011R60J152KE01L_1_0201
C25	-90.17	167.64	0.00	N.C.	GRM011R60J152KE01L_1_0201
C26	-92.71	167.64	0.00	100pF	GRM011R60J152KE01L_1_0201
C27	-95.25	167.64	0.00	N.C.	GRM011R60J152KE01L_1_0201
C28	-97.79	167.64	0.00	1.0uF	GRM011R60J152KE01L_1_0201
C29	-100.33	167.64	0.00	47nF	GRM011R60J152KE01L_1_0201
C3	-27.94	149.86	0.00	1uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C30	-102.87	167.64	0.00	4.7uF	GRM011R60J152KE01L_1_0201
C31	-21.59	160.02	0.00	0.1uF	PERFECT_0402_0402
C32	-77.47	154.94	0.00	4.7uF/25V	PERFECT_0402_0402
C33	-48.26	160.02	0.00	10uF	PERFECT_0402_0402
C34	-90.17	154.94	0.00	1uF/50V	PERFECT_0402_0402
C35	-96.52	154.94	0.00	1uF/50V	PERFECT_0402_0402
C36	-83.82	154.94	0.00	0.1uF/50V	PERFECT_0402_0402
C37	-102.87	154.94	0.00	1uF/50V	PERFECT_0402_0402
C38	-109.22	154.94	0.00	1uF/50V	PERFECT_0402_0402
C39	-115.57	154.94	0.00	1uF/50V	PERFECT_0402_0402
C4	-36.83	160.02	0.00	10uF	PERFECT_0402_0402
C40	-121.92	154.94	0.00	1uF/50V	PERFECT_0402_0402
C41	-128.27	154.94	0.00	1uF/50V	PERFECT_0402_0402
C42	-134.62	154.94	0.00	1uF/50V	PERFECT_0402_0402
C43	-17.78	160.02	0.00	1uF/50V	PERFECT_0402_0402
C44	-52.07	160.02	0.00	1uF	PERFECT_0402_0402
C45	-25.40	160.02	0.00	0.1uF	PERFECT_0402_0402
C46	-55.88	160.02	0.00	1uF	PERFECT_0402_0402
C47	-59.69	160.02	0.00	1uF	PERFECT_0402_0402
C48	-63.50	160.02	0.00	1uF	PERFECT_0402_0402
C49	-29.21	160.02	0.00	0.1uF	PERFECT_0402_0402
C5	-40.64	160.02	0.00	22uF	PERFECT_0402_0402
C50	-33.02	160.02	0.00	4.7uF	PERFECT_0402_0402
C6	-44.45	160.02	0.00	22uF	PERFECT_0402_0402
C7	-44.45	167.64	0.00	0.1uF	GRM011R60J152KE01L_1_0201
C8	-46.99	167.64	0.00	100nF	GRM011R60J152KE01L_1_0201
C9	-49.53	167.64	0.00	12pF	GRM011R60J152KE01L_1_0201
D1	-115.57	160.02	0.00	ESP32_C6_LIBRARY_5_MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D2	-27.94	163.83	0.00	ESP32_C6_LIBRARY_5_MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D3	-58.42	163.83	0.00	ESP32_C6_LIBRARY_5_MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D4	-82.55	160.02	0.00	ESP32_C6_LIBRARY_3_USBLC6-2SC6Y	ESP32_C6_LIBRARY_3_SOT95P280X145-6N
IC1	-58.42	154.94	0.00	BQ25180YBGR_BQ25180YBGR	BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2	-26.67	154.94	0.00	RT6160AWSC_RT6160AWSC	RT6160AWSC_BGA15C40P3X5_140X230X60
IC3	-38.10	149.86	0.00	BMA423_BMA423	BMA423_BMA423
IC4	-102.87	142.24	0.00	DRV2605YZFR_DRV2605YZFR	DRV2605YZFR_BGA9C50P3X3_144X144X62
J1	-79.69	132.08	0.00	TC2030-IDC_TC2030-IDC	TC2030-IDC_TC2030IDC
J2	-77.47	143.71	0.00	503480-2400_503480-2400	503480-2400_5034802400
J3	-36.83	131.90	0.00	KH-TYPE-C-16P_KH-TYPE-C-16P	KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1	-115.57	130.81	0.00	MLP2016SR47MT0S1_FTC252012SR47MBCA	MLP2016SR47MT0S1_INDC2016X100N
L2	-109.22	102.87	0.00	68uH	ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
Q1	-92.71	163.83	0.00	ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3	ESP32_C6_LIBRARY_6_SOT65P210X110-3N
Q2	-92.71	132.13	0.00	20V/4.2A/52mΩ/1.4W	ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
R1	-105.41	167.64	0.00	10k	CPF0201D7K68C1_0201
R10	-128.27	167.64	0.00	10K	CPF0201D7K68C1_0201
R11	-130.81	167.64	0.00	10k	CPF0201D7K68C1_0201
R12	-133.35	167.64	0.00	10k	CPF0201D7K68C1_0201
R13	-135.89	167.64	0.00	10k	CPF0201D7K68C1_0201
R14	-13.97	170.18	0.00	5K1	CPF0201D7K68C1_0201
R15	-16.51	170.18	0.00	5K1	CPF0201D7K68C1_0201
R2	-107.95	167.64	0.00	3K3	CPF0201D7K68C1_0201
R3	-110.49	167.64	0.00	3K3	CPF0201D7K68C1_0201
R4	-113.03	167.64	0.00	0	CPF0201D7K68C1_0201
R5	-115.57	167.64	0.00	0	CPF0201D7K68C1_0201
R6	-118.11	167.64	0.00	0	CPF0201D7K68C1_0201
R7	-120.65	167.64	0.00	0.47	CPF0201D7K68C1_0201
R8	-123.19	167.64	0.00	10K	CPF0201D7K68C1_0201
R9	-125.73	167.64	0.00	2.2	CPF0201D7K68C1_0201
RESET	-62.23	132.08	0.00	NORDIC_NRF_4_NRF52840_QF	NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
SJ1	-41.91	153.67	0.00		ESP32_C6_LIBRARY_7_JUMPER_SJ
SW1	-69.85	28.84	0.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW2	-69.85	70.75	0.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW3	-69.85	112.66	0.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP1	-81.28	148.59	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP10	-50.80	148.59	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP11	-76.20	148.59	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP12	-57.15	148.59	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP13	-63.50	148.59	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP14	-69.85	148.59	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP2	-86.36	148.59	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP3	-91.44	148.59	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP4	-96.52	148.59	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP5	-101.60	148.59	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP6	-106.68	148.59	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP7	-111.76	148.59	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP8	-116.84	148.59	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP9	-121.92	148.59	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
U$1	-60.96	143.51	0.00	32.768kHz	NORDIC_NRF_1_XTAL_3215_N
U$2	-16.51	143.51	0.00	32MHz	NORDIC_NRF_BT-XTAL_2016_N
U$3	-121.92	142.24	0.00	3.9nH	NORDIC_NRF_2_RESC0402_L
U$4	-128.27	142.24	0.00	15nH	NORDIC_NRF_2_RESC0402_L
U$5	-134.62	142.24	0.00	10uH	NORDIC_NRF_2_RESC0402_L
U1	-52.07	143.51	0.00	ESP32_C6_LIBRARY_MAX17048G+T10	ESP32_C6_LIBRARY_SON50P200X200X80-9N
