ANT1,20.30,5.48,270.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,6.08,4.74,90.00,12pF,CAPC1005X60
C1-EP-DR1,-21.17,12.94,0.00,10uF,CAPC1005X60
C10,16.10,0.02,90.00,N.C.,CAPC1005X60
C11,16.02,8.12,0.00,100pF,CAPC1005X60
C12,14.10,10.16,90.00,100nF,CAPC1005X60
C13,13.10,10.06,90.00,N.C.,CAPC1005X60
C14,10.58,9.36,270.00,4.7μF,CAPC1005X60
C15,11.65,9.06,270.00,1.0μF,CAPC1005X60
C16,10.91,13.94,90.00,47nF,CAPC1005X60
C17,4.48,5.77,0.00,12pF,CAPC1005X60
C18,7.58,5.19,180.00,12pF,CAPC1005X60
C19,4.32,-2.69,270.00,100nF,CAPC1005X60
C2,9.62,8.64,270.00,12pF,CAPC1005X60
C2-EP-DR1,-17.24,10.48,270.00,4.7uF/25V,CAPC1005X60
C20,10.01,0.50,270.00,4.7μF,CAPC1005X60
C21,9.23,0.42,270.00,4.7μF,CAPC1005X60
C22,-0.16,5.52,180.00,N.C.,CAPC1005X60
C23,-4.56,-6.98,180.00,0.1uF,GRM011R60J152KE01L_1_0201
C24,-6.88,-6.94,270.00,10uF,CAPC1005X60
C25,-3.86,-11.04,90.00,22uF,CAPC1005X60
C26,-4.93,5.87,90.00,0.1uF,GRM011R60J152KE01L_1_0201
C28,1.43,9.73,0.00,0.1uF,GRM011R60J152KE01L_1_0201
C3,16.13,4.13,270.00,1pF,CAPC1005X60
C33,-4.87,-11.07,270.00,22uF,CAPC1005X60
C35,2.57,9.41,270.00,4.7uF,CAPC1005X60
C36,-17.59,-13.33,180.00,0.1uF,GRM011R60J152KE01L_1_0201
C37,-5.33,8.38,90.00,1uF,GRM011R60J152KE01L_1_0201
C38,-5.27,9.86,270.00,1uF,GRM011R60J152KE01L_1_0201
C39,-4.24,9.22,0.00,10uF,CAPC1005X60
C4,7.44,3.35,0.00,1pF,CAPC1005X60
C40,-17.63,-10.92,0.00,1uF,GRM011R60J152KE01L_1_0201
C41,-9.33,-10.18,180.00,1uF,GRM011R60J152KE01L_1_0201
C44,1.71,-10.23,180.00,1uF,GRM011R60J152KE01L_1_0201
C45,12.75,-10.23,180.00,1uF,GRM011R60J152KE01L_1_0201
C5,4.54,7.21,179.90,100nF,CAPC1005X60
C6,7.28,2.54,180.00,4.7μF,CAPC1005X60
C7,12.30,0.48,270.00,100nF,CAPC1005X60
C8,13.62,-1.65,270.00,100nF,CAPC1005X60
C9,16.16,1.92,0.00,"820pF N.C.",CAPC1005X60
D1,-14.24,12.35,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D6,-14.24,13.60,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D7,-14.26,11.30,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D8,16.13,12.30,90.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
EPD_C13,-10.21,-0.54,180.00,0.1uF/50V,CAPC1005X60
EPD_C14,-10.11,-1.73,0.00,1uF/50V,CAPC1005X60
EPD_C15,-8.79,-2.75,180.00,1uF/50V,CAPC1005X60
EPD_C16,-8.33,-4.11,90.00,1uF/50V,CAPC1005X60
EPD_C17,-9.79,-4.41,180.00,1uF/50V,CAPC1005X60
EPD_C18,-9.69,-5.50,180.00,1uF/50V,CAPC1005X60
EPD_C19,-10.38,-7.31,90.00,1uF/50V,CAPC1005X60
EPD_C20,-12.56,-7.64,90.00,1uF/50V,CAPC1005X60
EPD_C3,-10.39,4.43,180.00,1uF/50V,CAPC1005X60
EPD_C4,-10.48,3.45,180.00,1uF/50V,CAPC1005X60
IC1,-6.26,9.15,0.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC3,1.94,-1.93,0.00,BMA421,BMA423_BMA423
IC4,-17.63,-12.10,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC9,-5.04,-8.88,0.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,17.98,-6.98,180.00,TC2030-IDC_TC2030-IDC,TC2030-IDC_TC2030IDC
J3,-13.08,0.00,270.00,503480-2400,503480-2400_5034802400
J5,0.10,13.61,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,16.35,6.28,90.00,3.9nH,0805-WIDE
L2,11.15,11.45,90.00,10μH,0805-WIDE
L3,13.36,12.66,90.00,15nH,0805-WIDE
L4,-18.41,13.10,0.00,68uH,XFL4020
L7,-4.27,-5.02,0.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q2,-14.91,14.97,180.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
Q4,-14.97,9.20,270.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
R1,-12.71,-10.23,180.00,10k,CPF0201D7K68C1_0201
R10,9.29,-10.23,180.00,10k,CPF0201D7K68C1_0201
R17,-6.73,-12.87,0.00,3K3,CPF0201D7K68C1_0201
R18,-7.17,-15.07,0.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR1,-12.67,15.63,270.00,0.47,CPF0201D7K68C1_0201
R1_USB1,0.77,9.67,180.00,5K1,CPF0201D7K68C1_0201
R2,-6.63,-9.71,90.00,0,CPF0201D7K68C1_0201
R2_EP_DR1,-12.57,14.45,270.00,10K,CPF0201D7K68C1_0201
R2_USB1,-1.43,9.87,90.00,5K1,CPF0201D7K68C1_0201
R3,1.73,-3.83,180.00,0,CPF0201D7K68C1_0201
R4,-6.63,-9.01,90.00,0,CPF0201D7K68C1_0201
R6,-1.79,-10.23,180.00,10k,CPF0201D7K68C1_0201
R9,-7.05,7.37,180.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD1,-15.25,9.29,90.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL1,-11.05,16.37,180.00,2.2,CPF0201D7K68C1_0201
SJ1,-9.98,14.64,0.00,0,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.00,-14.17,0.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
